AIS_rank,vessel_name,MMSI,IMO,vessel_type,AIS5_score,min_synchronized_distance_km,exact_close_encounter_count,longest_consecutive_encounter,consecutive_duration_hours,AIS_coverage_fraction,best_encounter_timestamp,best_encounter_lat,best_encounter_lon,matched_candidate_id,matched_candidate_lat,matched_candidate_lon,candidate_support,cluster_id,AIS4_null_p_value,data_availability_note
1,MV NAVIGATOR F26,211317341,9956355,LNG Carrier,0.5718716177122487,0.9341118933815024,32,2.0,2.0,0.4305555555555556,2019-06-14 04:35:58+00:00,34.148327,35.270838,2019-06-14T04:35:58_cand000,34.15154649036201,35.26146205776319,3323.2181856857424,cluster0000,0.028169014084507,"32 AIS observations total; 31/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
2,SEASPAN OASIS I44,352878610,9276786,LNG Carrier,0.3165054230862947,11.50414902990847,271,0.0,0.0,1.0,2019-06-14 10:35:58+00:00,34.096816,35.394795,2019-06-14T10:35:58_cand000,34.12154649036201,35.27346205776319,4024.634870567336,cluster0000,0.1267605633802817,"73 AIS observations total; 72/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
3,HELLAS JEWEL K81,256460035,9979356,Product Tanker,0.2778060897595432,12.808319275215185,214,0.0,0.0,0.9166666666666666,2019-06-12 21:35:58+00:00,34.379735,34.977505,2019-06-12T21:35:58_cand004,34.319546490362015,35.09646205776318,3.148920811363084,cluster0000,0.4788732394366197,"67 AIS observations total; 66/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
4,MINERVA LEADER W18,256975279,9894118,Bulk Carrier,0.2771758032272019,9.484100184000354,251,1.0,1.0,0.7222222222222222,2019-06-13 15:35:58+00:00,34.13484,35.211298,2019-06-13T15:35:58_cand000,34.19654649036201,35.28246205776319,1896.805201999388,cluster0000,0.8450704225352113,"52 AIS observations total; 52/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
5,PACIFIC SPIRIT K48,205571685,9108259,Bulk Carrier,0.2374112689958841,4.375167455469868,152,2.0,2.0,0.8194444444444444,2019-06-12 14:35:58+00:00,34.320354,34.998236,2019-06-12T14:35:58_cand003,34.325546490362015,35.04546205776318,6.044927183089778,cluster0000,0.2535211267605634,"60 AIS observations total; 59/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
6,EVER HORIZON K17,240627937,9864903,General Cargo,0.2361805121385076,5.245346697397201,204,1.0,1.0,0.3611111111111111,2019-06-12 21:35:58+00:00,34.212705,35.158714,2019-06-12T21:35:58_cand001,34.25954649036201,35.165462057763186,424.78532700798974,cluster0000,0.0985915492957746,"26 AIS observations total; 26/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
7,MINERVA EAGLE S29,256312511,9626685,Chemical Tanker,0.2241162601194607,14.95590343380106,270,0.0,0.0,0.9861111111111112,2019-06-12 04:35:58+00:00,34.544979,34.929709,2019-06-12T04:35:58_cand004,34.43054649036202,35.01546205776318,3.0841311170245,cluster0000,0.1267605633802817,"71 AIS observations total; 71/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
8,SEASPAN GLORY J76,211922870,9967421,Product Tanker,0.1965579418039406,6.078967348013223,225,1.0,1.0,0.4861111111111111,2019-06-11 20:35:58+00:00,34.493874,34.938633,2019-06-11T20:35:58_cand008,34.44254649036202,34.96146205776318,3.011874121021598,cluster0000,0.0,"35 AIS observations total; 35/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
9,EVER TRADER A72,636405124,9607968,Fishing,0.1227946581311453,20.972417647759777,223,0.0,0.0,0.7222222222222222,2019-06-12 19:35:58+00:00,34.107287,35.35184,2019-06-12T19:35:58_cand003,34.27454649036201,35.24646205776319,3.399328460958738,cluster0000,0.7183098591549296,"52 AIS observations total; 52/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
10,MAERSK EAGLE O79,311731455,9896007,Product Tanker,0.1069996426566303,22.34929784183468,167,0.0,0.0,0.7083333333333334,2019-06-13 13:35:58+00:00,34.191399,35.559551,2019-06-13T13:35:58_cand001,34.16654649036201,35.31846205776319,3.2897302517577445,cluster0001,0.2816901408450704,"51 AIS observations total; 51/72 candidate timestamps have an exact-time AIS report. Unmatched candidate timestamps reflect NO AIS report at that instant -- missing information, not evidence against proximity."
