particle_id,lat,lon,mass_kg,confidence,observation_timestamp
0,34.633203,34.878516,193.27,0.3376,2019-04-28T15:38:41
1,34.633203,34.877878,198.11,0.3558,2019-04-28T15:38:41
2,34.632833,34.879154,200.14,0.323,2019-04-28T15:38:41
3,34.632833,34.878516,289.21,0.3986,2019-04-28T15:38:41
4,34.632833,34.877878,289.6,0.3992,2019-04-28T15:38:41
5,34.632833,34.87724,229.61,0.3384,2019-04-28T15:38:41
6,34.632462,34.879791,143.41,0.2926,2019-04-28T15:38:41
7,34.632462,34.879154,290.4,0.396,2019-04-28T15:38:41
8,34.632462,34.878516,312.24,0.4042,2019-04-28T15:38:41
9,34.632462,34.877878,310.58,0.4041,2019-04-28T15:38:41
10,34.632462,34.87724,298.99,0.389,2019-04-28T15:38:41
11,34.632092,34.879791,243.3,0.3783,2019-04-28T15:38:41
12,34.632092,34.879154,311.08,0.4027,2019-04-28T15:38:41
13,34.632092,34.878516,301.37,0.4045,2019-04-28T15:38:41
14,34.632092,34.877878,328.23,0.4043,2019-04-28T15:38:41
15,34.632092,34.87724,289.39,0.3904,2019-04-28T15:38:41
16,34.631722,34.880429,216.95,0.3592,2019-04-28T15:38:41
17,34.631722,34.879791,283.21,0.3968,2019-04-28T15:38:41
18,34.631722,34.879154,322.72,0.4034,2019-04-28T15:38:41
19,34.631722,34.878516,329.88,0.4044,2019-04-28T15:38:41
20,34.631722,34.877878,323.14,0.4039,2019-04-28T15:38:41
21,34.631722,34.87724,246.23,0.3527,2019-04-28T15:38:41
22,34.631352,34.881067,228.78,0.3624,2019-04-28T15:38:41
23,34.631352,34.880429,302.82,0.398,2019-04-28T15:38:41
24,34.631352,34.879791,302.97,0.4024,2019-04-28T15:38:41
25,34.631352,34.879154,315.17,0.4039,2019-04-28T15:38:41
26,34.631352,34.878516,312.38,0.4044,2019-04-28T15:38:41
27,34.631352,34.877878,300.18,0.4029,2019-04-28T15:38:41
28,34.631352,34.87724,163.21,0.2685,2019-04-28T15:38:41
29,34.630982,34.881705,201.46,0.3336,2019-04-28T15:38:41
30,34.630982,34.881067,282.47,0.4002,2019-04-28T15:38:41
31,34.630982,34.880429,302.41,0.4037,2019-04-28T15:38:41
32,34.630982,34.879791,302.58,0.404,2019-04-28T15:38:41
33,34.630982,34.879154,301.12,0.4041,2019-04-28T15:38:41
34,34.630982,34.878516,280.61,0.4043,2019-04-28T15:38:41
35,34.630982,34.877878,252.66,0.4002,2019-04-28T15:38:41
36,34.630611,34.881705,251.44,0.3863,2019-04-28T15:38:41
37,34.630611,34.881067,281.56,0.4034,2019-04-28T15:38:41
38,34.630611,34.880429,266.28,0.4042,2019-04-28T15:38:41
39,34.630611,34.879791,289.83,0.4039,2019-04-28T15:38:41
40,34.630611,34.879154,316.33,0.4033,2019-04-28T15:38:41
41,34.630611,34.878516,260.34,0.4024,2019-04-28T15:38:41
42,34.630611,34.877878,174.66,0.3651,2019-04-28T15:38:41
43,34.630241,34.882342,245.21,0.3533,2019-04-28T15:38:41
44,34.630241,34.881705,284.82,0.3969,2019-04-28T15:38:41
45,34.630241,34.881067,250.06,0.4036,2019-04-28T15:38:41
46,34.630241,34.880429,289.8,0.4038,2019-04-28T15:38:41
47,34.630241,34.879791,298.83,0.4011,2019-04-28T15:38:41
48,34.630241,34.879154,234.84,0.3889,2019-04-28T15:38:41
49,34.630241,34.878516,215.51,0.3435,2019-04-28T15:38:41
50,34.629871,34.883618,159.23,0.262,2019-04-28T15:38:41
51,34.629871,34.88298,245.08,0.3633,2019-04-28T15:38:41
52,34.629871,34.882342,272.58,0.3927,2019-04-28T15:38:41
53,34.629871,34.881705,305.39,0.4014,2019-04-28T15:38:41
54,34.629871,34.881067,300.84,0.4038,2019-04-28T15:38:41
55,34.629871,34.880429,289.31,0.4031,2019-04-28T15:38:41
56,34.629871,34.879791,270.7,0.3878,2019-04-28T15:38:41
57,34.629871,34.879154,150.57,0.2823,2019-04-28T15:38:41
58,34.629501,34.884256,164.58,0.2743,2019-04-28T15:38:41
59,34.629501,34.883618,215.53,0.3843,2019-04-28T15:38:41
60,34.629501,34.88298,222.73,0.4,2019-04-28T15:38:41
61,34.629501,34.882342,288.6,0.4021,2019-04-28T15:38:41
62,34.629501,34.881705,289.43,0.4033,2019-04-28T15:38:41
63,34.629501,34.881067,283.53,0.4039,2019-04-28T15:38:41
64,34.629501,34.880429,299.41,0.4018,2019-04-28T15:38:41
65,34.629501,34.879791,192.74,0.3366,2019-04-28T15:38:41
66,34.62913,34.884256,254.26,0.3726,2019-04-28T15:38:41
67,34.62913,34.883618,267.38,0.4011,2019-04-28T15:38:41
68,34.62913,34.88298,246.76,0.4034,2019-04-28T15:38:41
69,34.62913,34.882342,311.43,0.4031,2019-04-28T15:38:41
70,34.62913,34.881705,266.97,0.4028,2019-04-28T15:38:41
71,34.62913,34.881067,280.94,0.4025,2019-04-28T15:38:41
72,34.62913,34.880429,284.25,0.3897,2019-04-28T15:38:41
73,34.62876,34.884893,232.64,0.3531,2019-04-28T15:38:41
74,34.62876,34.884256,301.16,0.3959,2019-04-28T15:38:41
75,34.62876,34.883618,303.66,0.4033,2019-04-28T15:38:41
76,34.62876,34.88298,275.49,0.4037,2019-04-28T15:38:41
77,34.62876,34.882342,267.95,0.4019,2019-04-28T15:38:41
78,34.62876,34.881705,284.53,0.3965,2019-04-28T15:38:41
79,34.62876,34.881067,234.39,0.3807,2019-04-28T15:38:41
80,34.62876,34.880429,190.12,0.2693,2019-04-28T15:38:41
81,34.62839,34.885531,203.63,0.3606,2019-04-28T15:38:41
82,34.62839,34.884893,279.77,0.3942,2019-04-28T15:38:41
83,34.62839,34.884256,317.14,0.4023,2019-04-28T15:38:41
84,34.62839,34.883618,299.53,0.4041,2019-04-28T15:38:41
85,34.62839,34.88298,288.34,0.404,2019-04-28T15:38:41
86,34.62839,34.882342,244.58,0.3998,2019-04-28T15:38:41
87,34.62839,34.881705,226.28,0.3699,2019-04-28T15:38:41
88,34.62802,34.886169,155.96,0.3342,2019-04-28T15:38:41
89,34.62802,34.885531,232.87,0.3985,2019-04-28T15:38:41
90,34.62802,34.884893,279.54,0.4027,2019-04-28T15:38:41
91,34.62802,34.884256,297.87,0.404,2019-04-28T15:38:41
92,34.62802,34.883618,306.1,0.4044,2019-04-28T15:38:41
93,34.62802,34.88298,315.41,0.4042,2019-04-28T15:38:41
94,34.62802,34.882342,270.18,0.396,2019-04-28T15:38:41
95,34.62802,34.881705,173.41,0.2928,2019-04-28T15:38:41
96,34.627649,34.886169,239.91,0.3848,2019-04-28T15:38:41
97,34.627649,34.885531,305.08,0.4031,2019-04-28T15:38:41
98,34.627649,34.884893,302.52,0.4039,2019-04-28T15:38:41
99,34.627649,34.884256,304.39,0.4043,2019-04-28T15:38:41
100,34.627649,34.883618,304.53,0.4044,2019-04-28T15:38:41
101,34.627649,34.88298,285.13,0.4039,2019-04-28T15:38:41
102,34.627649,34.882342,255.61,0.379,2019-04-28T15:38:41
103,34.627279,34.886169,299.72,0.396,2019-04-28T15:38:41
104,34.627279,34.885531,315.14,0.4038,2019-04-28T15:38:41
105,34.627279,34.884893,342.23,0.404,2019-04-28T15:38:41
106,34.627279,34.884256,328.08,0.4042,2019-04-28T15:38:41
107,34.627279,34.883618,321.83,0.4043,2019-04-28T15:38:41
108,34.627279,34.88298,249.26,0.4023,2019-04-28T15:38:41
109,34.627279,34.882342,170.04,0.3054,2019-04-28T15:38:41
110,34.626909,34.886169,272.01,0.4009,2019-04-28T15:38:41
111,34.626909,34.885531,305.93,0.4042,2019-04-28T15:38:41
112,34.626909,34.884893,285.26,0.4041,2019-04-28T15:38:41
113,34.626909,34.884256,316.87,0.404,2019-04-28T15:38:41
114,34.626909,34.883618,313.6,0.4039,2019-04-28T15:38:41
115,34.626909,34.88298,219.34,0.3967,2019-04-28T15:38:41
116,34.626539,34.886807,151.68,0.2886,2019-04-28T15:38:41
117,34.626539,34.886169,259.22,0.4031,2019-04-28T15:38:41
118,34.626539,34.885531,290.22,0.4044,2019-04-28T15:38:41
