mmsi,timestamp,lat,lon,sog,cog,vessel_name,imo,vessel_type,type_code,length,width,draught
205831273,2019-01-10T17:05:00Z,32.813595,34.412769,10.5,48.9,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
205831273,2019-01-10T18:05:00Z,32.798097,34.464145,10.8,52.0,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
205831273,2019-01-10T19:05:00Z,32.882949,34.396016,14.4,45.5,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
205831273,2019-01-10T20:05:00Z,32.809613,34.44287,10.2,43.7,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
256241508,2019-01-10T20:05:00Z,30.532665,32.741851,10.5,299.3,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
205831273,2019-01-10T21:05:00Z,32.899952,34.486465,11.5,35.6,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
256241508,2019-01-10T21:05:00Z,30.565922,32.664747,13.8,315.1,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
311742512,2019-01-10T21:05:00Z,35.945763,30.403863,18.6,149.5,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
205831273,2019-01-10T22:05:00Z,32.892169,34.46392,10.7,41.7,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
256241508,2019-01-10T22:05:00Z,30.527365,32.581723,14.3,308.9,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
311742512,2019-01-10T22:05:00Z,35.937982,30.502579,17.0,148.1,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
205831273,2019-01-10T23:05:00Z,32.950788,34.504053,14.2,54.9,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
256241508,2019-01-10T23:05:00Z,30.605789,32.540806,13.8,301.4,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
311742512,2019-01-10T23:05:00Z,35.898472,30.528167,15.3,163.6,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
205831273,2019-01-11T00:05:00Z,32.886458,34.538377,10.1,38.6,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
240931109,2019-01-11T00:05:00Z,31.311034,32.22482,11.6,314.8,STENA CARRIER Y72,9281650,Crude Oil Tanker,80,221,53,15.0
256241508,2019-01-11T00:05:00Z,30.678686,32.544687,11.7,301.9,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
311742512,2019-01-11T00:05:00Z,35.836791,30.529726,16.8,167.3,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
352353243,2019-01-11T00:05:00Z,31.254689,29.69376,13.8,13.2,CMA CGM HORIZON E77,9506837,Product Tanker,81,147,31,11.2
636724911,2019-01-11T00:05:00Z,34.641788,27.076456,11.6,72.0,PACIFIC CARRIER U22,9818302,Bulk Carrier,70,112,19,13.6
205831273,2019-01-11T01:05:00Z,32.904616,34.60277,10.8,40.1,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
240931109,2019-01-11T01:05:00Z,31.338808,32.083575,11.8,319.0,STENA CARRIER Y72,9281650,Crude Oil Tanker,80,221,53,15.0
256241508,2019-01-11T01:05:00Z,30.658268,32.465091,11.6,314.5,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
311742512,2019-01-11T01:05:00Z,35.787587,30.534577,17.4,153.1,MV PIONEER J48,9386079,LNG Carrier,84,317,45,9.8
352353243,2019-01-11T01:05:00Z,31.321305,29.757121,12.3,358.4,CMA CGM HORIZON E77,9506837,Product Tanker,81,147,31,11.2
636724911,2019-01-11T01:05:00Z,34.702886,27.173269,9.3,67.0,PACIFIC CARRIER U22,9818302,Bulk Carrier,70,112,19,13.6
205831273,2019-01-11T02:05:00Z,32.963421,34.555667,13.3,50.3,EVER PIONEER Z44,9957596,Crude Oil Tanker,80,260,52,7.0
240532237,2019-01-11T02:05:00Z,31.180902,31.59504,20.6,40.6,MAERSK JEWEL B62,9177162,Container Ship,70,286,34,9.5
240931109,2019-01-11T02:05:00Z,31.443303,32.094678,13.2,311.4,STENA CARRIER Y72,9281650,Crude Oil Tanker,80,221,53,15.0
256241508,2019-01-11T02:05:00Z,30.778119,32.456706,11.2,304.4,HELLAS NAVIGATOR G56,9125971,Chemical Tanker,82,165,47,6.4
